,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE,PCT_DIFF
1130,0500000US22033,"East Baton Rouge Parish, Louisiana",456781.0,14499.0,3.1741688029931194,East Baton Rouge Parish,Louisiana,1.855785950190188,1.3183828528029313
1136,0500000US22045,"Iberia Parish, Louisiana",69929.0,1943.0,2.7785325115474264,Iberia Parish,Louisiana,1.855785950190188,0.9227465613572383
1139,0500000US22051,"Jefferson Parish, Louisiana",440781.0,19780.0,4.487489252032188,Jefferson Parish,Louisiana,1.855785950190188,2.631703301842
1141,0500000US22055,"Lafayette Parish, Louisiana",241753.0,5268.0,2.179083610131001,Lafayette Parish,Louisiana,1.855785950190188,0.32329765994081305
1149,0500000US22071,"Orleans Parish, Louisiana",383997.0,10703.0,2.787261358812699,Orleans Parish,Louisiana,1.855785950190188,0.931475408622511
1151,0500000US22075,"Plaquemines Parish, Louisiana",23515.0,1053.0,4.477992770571975,Plaquemines Parish,Louisiana,1.855785950190188,2.6222068203817868
1157,0500000US22087,"St. Bernard Parish, Louisiana",43764.0,997.0,2.27812814185175,St. Bernard Parish,Louisiana,1.855785950190188,0.42234219166156195
1170,0500000US22113,"Vermilion Parish, Louisiana",57359.0,1263.0,2.201921232936418,Vermilion Parish,Louisiana,1.855785950190188,0.34613528274623007
1180,0500000US23005,"Cumberland County, Maine",303069.0,7204.0,2.3770164549986967,Cumberland County,Maine,1.2330083333394501,1.1440081216592466
1181,0500000US23007,"Franklin County, Maine",29456.0,386.0,1.310429114611624,Franklin County,Maine,1.2330083333394501,0.07742078127217389
1206,0500000US24027,"Howard County, Maryland",332317.0,66288.0,19.94721907094732,Howard County,Maryland,6.8144525761086205,13.132766494838698
1208,0500000US24031,"Montgomery County, Maryland",1062061.0,163507.0,15.395255074802671,Montgomery County,Maryland,6.8144525761086205,8.580802498694052
1226,0500000US25017,"Middlesex County, Massachusetts",1632002.0,210462.0,12.895940078504806,Middlesex County,Massachusetts,7.225320014446828,5.670620064057978
1228,0500000US25021,"Norfolk County, Massachusetts",725981.0,88512.0,12.192054612999515,Norfolk County,Massachusetts,7.225320014446828,4.966734598552687
1230,0500000US25025,"Suffolk County, Massachusetts",797936.0,81140.0,10.168735337169899,Suffolk County,Massachusetts,7.225320014446828,2.9434153227230713
1264,0500000US26065,"Ingham County, Michigan",284900.0,16522.0,5.799227799227799,Ingham County,Michigan,3.3173466268002905,2.4818811724275083
1272,0500000US26081,"Kent County, Michigan",657974.0,21980.0,3.3405575296288306,Kent County,Michigan,3.3173466268002905,0.023210902828540103
1281,0500000US26099,"Macomb County, Michigan",881217.0,38421.0,4.359993055059083,Macomb County,Michigan,3.3173466268002905,1.0426464282587924
1294,0500000US26125,"Oakland County, Michigan",1274395.0,105974.0,8.3156321234782,Oakland County,Michigan,3.3173466268002905,4.998285496677909
1312,0500000US26161,"Washtenaw County, Michigan",372258.0,33632.0,9.034594286758109,Washtenaw County,Michigan,3.3173466268002905,5.717247659957819
1313,0500000US26163,"Wayne County, Michigan",1793561.0,64947.0,3.621120218381198,Wayne County,Michigan,3.3173466268002905,0.30377359158090744
1316,0500000US27003,"Anoka County, Minnesota",363887.0,19257.0,5.292027470066256,Anoka County,Minnesota,5.242974057275799,0.04905341279045761
1333,0500000US27037,"Dakota County, Minnesota",439882.0,24118.0,5.482834032763332,Dakota County,Minnesota,5.242974057275799,0.23985997548753346
1341,0500000US27053,"Hennepin County, Minnesota",1281565.0,97864.0,7.636288444206888,Hennepin County,Minnesota,5.242974057275799,2.393314386931089
1367,0500000US27105,"Nobles County, Minnesota",22290.0,1362.0,6.110363391655451,Nobles County,Minnesota,5.242974057275799,0.8673893343796522
1369,0500000US27109,"Olmsted County, Minnesota",162847.0,10278.0,6.3114457128470285,Olmsted County,Minnesota,5.242974057275799,1.06847165557123
1376,0500000US27123,"Ramsey County, Minnesota",552352.0,86079.0,15.58408406233706,Ramsey County,Minnesota,5.242974057275799,10.341110005061262
1384,0500000US27139,"Scott County, Minnesota",150928.0,10015.0,6.635614332661932,Scott County,Minnesota,5.242974057275799,1.3926402753861336
1396,0500000US27163,"Washington County, Minnesota",267568.0,18604.0,6.952998863840221,Washington County,Minnesota,5.242974057275799,1.7100248065644221
1418,0500000US28033,"DeSoto County, Mississippi",185314.0,3045.0,1.643157019976904,DeSoto County,Mississippi,1.1045565108860056,0.5386005090908985
1425,0500000US28047,"Harrison County, Mississippi",208621.0,6008.0,2.8798634845006017,Harrison County,Mississippi,1.1045565108860056,1.775306973614596
1431,0500000US28059,"Jackson County, Mississippi",143252.0,3204.0,2.2366179878814956,Jackson County,Mississippi,1.1045565108860056,1.13206147699549
1437,0500000US28071,"Lafayette County, Mississippi",55813.0,1685.0,3.0190099080859296,Lafayette County,Mississippi,1.1045565108860056,1.914453397199924
1438,0500000US28073,"Lamar County, Mississippi",64222.0,1102.0,1.715922892466756,Lamar County,Mississippi,1.1045565108860056,0.6113663815807504
1442,0500000US28081,"Lee County, Mississippi",83343.0,924.0,1.1086713941182822,Lee County,Mississippi,1.1045565108860056,0.0041148832322766005
1446,0500000US28089,"Madison County, Mississippi",109145.0,3196.0,2.92821476018141,Madison County,Mississippi,1.1045565108860056,1.8236582492954043
1454,0500000US28105,"Oktibbeha County, Mississippi",51788.0,1507.0,2.9099405267629566,Oktibbeha County,Mississippi,1.1045565108860056,1.805384015876951
1462,0500000US28121,"Rankin County, Mississippi",157031.0,2269.0,1.4449376237812914,Rankin County,Mississippi,1.1045565108860056,0.34038111289528583
1484,0500000US29001,"Adair County, Missouri",25314.0,687.0,2.71391324958521,Adair County,Missouri,2.1670005733631004,0.5469126762221097
1488,0500000US29009,"Barry County, Missouri",34534.0,811.0,2.3484102623501477,Barry County,Missouri,2.1670005733631004,0.18140968898704735
1493,0500000US29019,"Boone County, Missouri",183610.0,7820.0,4.259027286095528,Boone County,Missouri,2.1670005733631004,2.092026712732428
1507,0500000US29047,"Clay County, Missouri",253335.0,6126.0,2.4181419859079876,Clay County,Missouri,2.1670005733631004,0.2511414125448872
1564,0500000US29161,"Phelps County, Missouri",44638.0,1517.0,3.398449751332945,Phelps County,Missouri,2.1670005733631004,1.2314491779698447
1566,0500000US29165,"Platte County, Missouri",106718.0,2746.0,2.573136677973725,Platte County,Missouri,2.1670005733631004,0.40613610461062466
1568,0500000US29169,"Pulaski County, Missouri",53955.0,1835.0,3.400982300064869,Pulaski County,Missouri,2.1670005733631004,1.2339817267017685
1575,0500000US29183,"St. Charles County, Missouri",405262.0,11147.0,2.7505663003192997,St. Charles County,Missouri,2.1670005733631004,0.5835657269561993
1579,0500000US29189,"St. Louis County, Missouri",1004125.0,48784.0,4.85835926801942,St. Louis County,Missouri,2.1670005733631004,2.6913586946563197
1598,0500000US29510,"St. Louis city, Missouri",301578.0,12289.0,4.074899362685607,St. Louis city,Missouri,2.1670005733631004,1.9078987893225068
1605,0500000US30013,"Cascade County, Montana",84414.0,952.0,1.1277750136233327,Cascade County,Montana,0.7655237612119256,0.3622512524114071
1608,0500000US30019,"Daniels County, Montana",1661.0,13.0,0.78266104756171,Daniels County,Montana,0.7655237612119256,0.017137286349784397
1614,0500000US30031,"Gallatin County, Montana",118960.0,1413.0,1.187794216543376,Gallatin County,Montana,0.7655237612119256,0.42227045533145036
1623,0500000US30049,"Lewis and Clark County, Montana",70973.0,559.0,0.7876234624434644,Lewis and Clark County,Montana,0.7655237612119256,0.022099701231538815
1630,0500000US30063,"Missoula County, Montana",117922.0,1456.0,1.2347144722782857,Missoula County,Montana,0.7655237612119256,0.4691907110663601
1640,0500000US30083,"Richland County, Montana",11491.0,121.0,1.0529979984335567,Richland County,Montana,0.7655237612119256,0.2874742372216311
1654,0500000US30111,"Yellowstone County, Montana",164731.0,1320.0,0.8013063722068099,Yellowstone County,Montana,0.7655237612119256,0.035782610994884334
1676,0500000US31043,"Dakota County, Nebraska",21582.0,609.0,2.821795941061996,Dakota County,Nebraska,2.6995101717865477,0.12228576927544843
1682,0500000US31055,"Douglas County, Nebraska",584526.0,27827.0,4.760609451076599,Douglas County,Nebraska,2.6995101717865477,2.061099279290051
1709,0500000US31109,"Lancaster County, Nebraska",322608.0,14086.0,4.366289738630164,Lancaster County,Nebraska,2.6995101717865477,1.6667795668436165
1749,0500000US32003,"Clark County, Nevada",2265461.0,237663.0,10.490712486332804,Clark County,Nevada,8.78379727721385,1.7069152091189537
1769,0500000US33009,"Grafton County, New Hampshire",91118.0,2867.0,3.146469413288264,Grafton County,New Hampshire,2.604010514479187,0.5424588988090768
1770,0500000US33011,"Hillsborough County, New Hampshire",422937.0,16523.0,3.906728425273741,Hillsborough County,New Hampshire,2.604010514479187,1.302717910794554
1773,0500000US33017,"Strafford County, New Hampshire",130889.0,4506.0,3.4426116785978964,Strafford County,New Hampshire,2.604010514479187,0.8386011641187094
1776,0500000US34003,"Bergen County, New Jersey",955732.0,158630.0,16.597749159806305,Bergen County,New Jersey,10.228125887475006,6.3696232723312995
1783,0500000US34017,"Hudson County, New Jersey",724854.0,124555.0,17.18346039340336,Hudson County,New Jersey,10.228125887475006,6.955334505928356
1785,0500000US34021,"Mercer County, New Jersey",387340.0,48537.0,12.530851448339961,Mercer County,New Jersey,10.228125887475006,2.302725560864955
1786,0500000US34023,"Middlesex County, New Jersey",863162.0,228813.0,26.508697092782118,Middlesex County,New Jersey,10.228125887475006,16.280571205307112
1788,0500000US34027,"Morris County, New Jersey",509285.0,58034.0,11.395191297603503,Morris County,New Jersey,10.228125887475006,1.1670654101284974
1792,0500000US34035,"Somerset County, New Jersey",345361.0,67309.0,19.489461751616425,Somerset County,New Jersey,10.228125887475006,9.261335864141419
1796,0500000US35001,"Bernalillo County, New Mexico",676444.0,20253.0,2.994039417897121,Bernalillo County,New Mexico,1.7694739417111132,1.2245654761860076
1811,0500000US35028,"Los Alamos County, New Mexico",19419.0,1238.0,6.3751995468355735,Los Alamos County,New Mexico,1.7694739417111132,4.60572560512446
1824,0500000US35053,"Socorro County, New Mexico",16595.0,311.0,1.8740584513407654,Socorro County,New Mexico,1.7694739417111132,0.10458450962965227
1852,0500000US36047,"Kings County, New York",2736074.0,373680.0,13.657525344709242,Kings County,New York,9.569343954920807,4.088181389788435
1858,0500000US36059,"Nassau County, New York",1395774.0,164201.0,11.764153795671792,Nassau County,New York,9.569343954920807,2.1948098407509846
1859,0500000US36061,"New York County, New York",1694251.0,221995.0,13.102840134076946,New York County,New York,9.569343954920807,3.5334961791561383
1869,0500000US36081,"Queens County, New York",2405464.0,660631.0,27.463765826468407,Queens County,New York,9.569343954920807,17.8944218715476
1871,0500000US36085,"Richmond County, New York",495747.0,59279.0,11.957510585036319,Richmond County,New York,9.569343954920807,2.388166630115512
1883,0500000US36109,"Tompkins County, New York",105740.0,10532.0,9.960279931908454,Tompkins County,New York,9.569343954920807,0.39093597698764704
1902,0500000US37023,"Burke County, North Carolina",87570.0,3168.0,3.6176772867420346,Burke County,North Carolina,3.286121753497427,0.3315555332446074
1903,0500000US37025,"Cabarrus County, North Carolina",225804.0,11984.0,5.307257621654178,Cabarrus County,North Carolina,3.286121753497427,2.0211358681567506
1908,0500000US37035,"Catawba County, North Carolina",160610.0,7023.0,4.37270406574933,Catawba County,North Carolina,3.286121753497427,1.086582312251903
1922,0500000US37063,"Durham County, North Carolina",324833.0,16817.0,5.177121782577509,Durham County,North Carolina,3.286121753497427,1.891000029080082
1931,0500000US37081,"Guilford County, North Carolina",541299.0,28922.0,5.3430728673062395,Guilford County,North Carolina,3.286121753497427,2.0569511138088123
1950,0500000US37119,"Mecklenburg County, North Carolina",1115482.0,72035.0,6.457746516752399,Mecklenburg County,North Carolina,3.286121753497427,3.171624763254972
1958,0500000US37135,"Orange County, North Carolina",148696.0,12674.0,8.523430354548879,Orange County,North Carolina,3.286121753497427,5.237308601051451
