,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE
703,0500000US18011,"Boone County, Indiana",70812,2401,3.3906682483194936,Boone County,Indiana,2.4752532153724807
726,0500000US18057,"Hamilton County, Indiana",347467,23595,6.790572917715927,Hamilton County,Indiana,2.4752532153724807
729,0500000US18063,"Hendricks County, Indiana",174788,5693,3.257088587317207,Hendricks County,Indiana,2.4752532153724807
738,0500000US18081,"Johnson County, Indiana",161765,7448,4.6042098105276175,Johnson County,Indiana,2.4752532153724807
746,0500000US18097,"Marion County, Indiana",977203,40062,4.0996599478306965,Marion County,Indiana,2.4752532153724807
750,0500000US18105,"Monroe County, Indiana",139718,8376,5.994932650052248,Monroe County,Indiana,2.4752532153724807
776,0500000US18157,"Tippecanoe County, Indiana",186251,13657,7.332578080117691,Tippecanoe County,Indiana,2.4752532153724807
784,0500000US18173,"Warrick County, Indiana",63898,1644,2.5728504804532224,Warrick County,Indiana,2.4752532153724807
796,0500000US19013,"Black Hawk County, Iowa",131144,3427,2.6131580552674922,Black Hawk County,Iowa,2.370540837125737
800,0500000US19021,"Buena Vista County, Iowa",20823,1907,9.15814243864957,Buena Vista County,Iowa,2.370540837125737
814,0500000US19049,"Dallas County, Iowa",99678,5009,5.025181083087542,Dallas County,Iowa,2.370540837125737
840,0500000US19101,"Jefferson County, Iowa",15663,500,3.1922364808785035,Jefferson County,Iowa,2.370540837125737
841,0500000US19103,"Johnson County, Iowa",152854,8599,5.625629685844008,Johnson County,Iowa,2.370540837125737
847,0500000US19115,"Louisa County, Iowa",10837,270,2.491464427424564,Louisa County,Iowa,2.370540837125737
853,0500000US19127,"Marshall County, Iowa",40105,1517,3.7825707517765865,Marshall County,Iowa,2.370540837125737
866,0500000US19153,"Polk County, Iowa",492401,24510,4.977650329710947,Polk County,Iowa,2.370540837125737
871,0500000US19163,"Scott County, Iowa",174669,4858,2.7812605556795997,Scott County,Iowa,2.370540837125737
874,0500000US19169,"Story County, Iowa",98537,5461,5.542080639759684,Story County,Iowa,2.370540837125737
886,0500000US19193,"Woodbury County, Iowa",105941,3008,2.839316223180827,Woodbury County,Iowa,2.370540837125737
911,0500000US20045,"Douglas County, Kansas",118785,4685,3.9441006861135666,Douglas County,Kansas,2.9365733113673804
916,0500000US20055,"Finney County, Kansas",38470,1548,4.023914738757473,Finney County,Kansas,2.9365733113673804
919,0500000US20061,"Geary County, Kansas",36739,1250,3.4023789433571956,Geary County,Kansas,2.9365733113673804
934,0500000US20091,"Johnson County, Kansas",609863,33030,5.41597047205684,Johnson County,Kansas,2.9365733113673804
